Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,VBI,NDBI,NBI,MultiBI,MBI,IBI,IBUI,BSI,BRBA,BBI,BAEI,BU
1,2,0,0.0830000,0.1092000,0.1504000,0.2900000,0.3101000,0.0647874,0.4481380,0.1504000,-0.4974420,0.0334944,0.1282030,0.3202780,-0.0499147,-0.233561007078000,0.176788307455000,0.0713040,0.6084140,1,1.074171237780000,-0.1417450
1,2,0,0.0870000,0.1124000,0.1632000,0.2644000,0.3756000,0.0555556,0.4669120,0.1632000,-0.4819970,0.1737500,0.2020250,0.2946630,-0.0107189,-3.607269990950000,0.482000008308000,0.1769330,0.4986250,1,0.949180327869000,-0.0314599
1,2,0,0.0830000,0.1030000,0.1538000,0.2466000,0.3045000,0.0470810,0.4603380,0.1538000,-0.4991350,0.1050630,0.1642150,0.3591510,-0.0198318,-1.477466488070000,0.372632091049000,0.1345460,0.5841250,1,1.113619631900000,-0.0633528
1,3,0,0.1710000,0.2106000,0.2226000,0.3416000,0.3447000,0.1279070,0.2318060,0.2226000,-0.0202592,0.0045170,0.1807000,0.0520164,-0.0439656,0.476042469086000,-0.030134548987100,0.0134882,0.8027410,1,0.941112911939000,-0.1032010
1,3,0,0.1348000,0.1676000,0.1712000,0.3632000,0.3087000,0.1501830,0.2126170,0.1712000,-0.1079080,-0.0811133,0.1153430,0.1288070,-0.0937787,0.912581858779000,-0.177113786611000,-0.0503611,0.6996320,1,0.989292462734000,-0.2201970
1,3,0,0.1880000,0.2148000,0.2326000,0.2710000,0.3236000,0.1001490,0.1917460,0.2326000,0.0962765,0.0884628,0.2553450,0.1284180,0.0022103,-4.623376701210000,0.191300750141000,0.0675624,0.7818490,1,0.989227340267000,0.0061059
1,6,0,0.1606000,0.1908000,0.2114000,0.3336000,0.2724000,0.0990813,0.2403030,0.2114000,-0.0639862,-0.1009900,0.1446090,0.0808262,-0.0657005,0.995962012361000,-0.186852145011000,-0.0402698,0.9263800,1,1.104058721930000,-0.1626050
1,2,0,0.1060000,0.1338000,0.2048000,0.3132000,0.3413000,0.0468961,0.4824220,0.2048000,-0.4039770,0.0429335,0.1751130,0.1933560,-0.0328128,-0.278654156296000,0.198884071005000,0.0997886,0.7647500,1,1.062513155130000,-0.0831664
0,7,0,0.0558000,0.0798000,0.0863000,0.2358000,0.2546000,0.1311480,0.3534180,0.0863000,-0.6074760,0.0383361,0.0718801,0.0907728,-0.0583140,-0.156445598280000,0.158788738997000,0.0385377,0.4394090,1,1.155203349280000,-0.2129030
1,3,0,0.2014000,0.2216000,0.2598000,0.3776000,0.3189000,0.0576484,0.2247880,0.2598000,0.0722504,-0.0842785,0.1675350,0.0447968,-0.0624611,0.891937195771000,-0.191243076786000,-0.0174039,1.0669399,1,1.035707678080000,-0.1345460
1,3,0,0.1886000,0.1896000,0.2176000,0.2478000,0.2413000,0.0057471,0.1332720,0.2176000,0.2403380,-0.0132897,0.1837920,0.0514990,-0.0125909,0.394993787452000,-0.011168767043700,0.0239875,1.0396600,1,1.201206776510000,-0.0390901
1,3,0,0.1804000,0.2204000,0.2374000,0.3172000,0.3459000,0.1169590,0.2401010,0.2374000,-0.0056567,0.0432816,0.2259490,0.1822880,-0.0205432,-0.372511501158000,0.083397942171700,0.0407708,0.7863530,1,0.948966978633000,-0.0503030
1,6,0,0.1880000,0.2188000,0.2198000,0.3012000,0.3102000,0.1614260,0.1446770,0.2198000,0.2061120,0.0147203,0.2002430,0.0832468,-0.0271168,0.272913145759000,0.006630078199370,0.0095238,0.8010200,1,0.982608695652000,-0.0707588
1,3,0,0.1288000,0.1384000,0.1470000,0.1582000,0.1989000,0.0879121,0.1238090,0.1470000,0.0856340,0.1139740,0.1903940,0.1619660,0.0083536,4.210857476700000,0.287115875128000,0.0767315,0.7174230,1,1.325229765790000,0.0386382
1,6,0,0.1506000,0.1806000,0.1846000,0.3580000,0.2802000,0.1470590,0.1841820,0.1846000,0.0011335,-0.1219050,0.1071510,-0.0726106,-0.0929012,1.133948695230000,-0.298791467892000,-0.0735500,0.8883540,1,1.051649305560000,-0.2207390
1,6,0,0.1150000,0.1530000,0.1688000,0.2964000,0.3150000,0.1177200,0.3187200,0.1688000,-0.3075160,0.0304220,0.1565560,0.1076600,-0.0444514,-0.325323009841000,0.110219508338000,0.0368624,0.6140410,1,1.001709401710000,-0.1219340
