first,system:index,BAEI,BBI,BRBA,BSI,BU,CID,IBI,IBUI,MBI,MultiBI,NBI,NDBI,Type,Urban,VBI,b11,b2,b3,b4,b8,hue,sat,val
0.25399644760213136,34,0.864981949458,1,0.404241,0.306779,0.0774661,0,37.936966742,0.843402144919,0.026082,0.505716,0.326374,0.306849,2,1,-0.547112,0.4589,0.0695,0.0951,0.1792,0.2434,0.038894,0.612165,0.1792
0.06566227244193347,35,0.856780091417,1,0.980126,0.0167939,-0.0133097,0,0.299045574513,0.00271943945298,-0.00720304,0.0584383,0.349911,0.0177458,1,1,0.404224,0.4244,0.3152,0.3632,0.3748,0.4096,0.134228,0.159018,0.3748
0.1329136061559986,36,1.17968931138,1,0.729815,0.166794,-0.0239882,0,-1.26250866268,0.427316149596,-0.00856234,0.380968,0.218819,0.0852739,2,1,-0.491567,0.3239,0.0809,0.1074,0.2088,0.273,0.0345322,0.612548,0.2088
-0.03800217155266018,37,1.07417123778,1,0.608414,0.071304,-0.141745,0,-0.233561007078,0.176788307455,-0.0499147,0.320278,0.128203,0.0334944,2,1,-0.497442,0.3101,0.083,0.1092,0.1504,0.29,0.0647874,0.448138,0.1504
0.1221989841649238,38,0.949180327869,1,0.498625,0.176933,-0.0314599,0,-3.60726999095,0.482000008308,-0.0107189,0.294663,0.202025,0.17375,2,1,-0.481997,0.3756,0.087,0.1124,0.1632,0.2644,0.0555556,0.466912,0.1632
0.06767180925666193,39,1.1136196319,1,0.584125,0.134546,-0.0633528,0,-1.47746648807,0.372632091049,-0.0198318,0.359151,0.164215,0.105063,2,1,-0.499135,0.3045,0.083,0.103,0.1538,0.2466,0.047081,0.460338,0.1538
0.014271001912608484,40,0.941112911939,1,0.802741,0.0134882,-0.103201,0,0.476042469086,-0.0301345489871,-0.0439656,0.0520164,0.1807,0.00451698,3,1,-0.0202592,0.3447,0.171,0.2106,0.2226,0.3416,0.127907,0.231806,0.2226
-0.09644372896238843,41,0.989292462734,1,0.699632,-0.0503611,-0.220197,0,0.912581858779,-0.177113786611,-0.0937787,0.128807,0.115343,-0.0811133,3,1,-0.107908,0.3087,0.1348,0.1676,0.1712,0.3632,0.150183,0.212617,0.1712
0.04471347861178371,42,0.989227340267,1,0.781849,0.0675624,0.00610592,0,-4.62337670121,0.191300750141,0.0022103,0.128418,0.255345,0.0884628,3,1,0.0962765,0.3236,0.188,0.2148,0.2326,0.271,0.100149,0.191746,0.2326
-0.0273165506159615,43,1.10405872193,1,0.92638,-0.0402698,-0.162605,0,0.995962012361,-0.186852145011,-0.0657005,0.0808262,0.144609,-0.10099,6,1,-0.0639862,0.2724,0.1606,0.1908,0.2114,0.3336,0.0990813,0.240303,0.2114
0.008420741616191435,44,1.06251315513,1,0.76475,0.0997886,-0.0831664,0,-0.278654156296,0.198884071005,-0.0328128,0.193356,0.175113,0.0429335,2,1,-0.403977,0.3413,0.106,0.1338,0.2048,0.3132,0.0468961,0.482422,0.2048
-0.02805878984539032,45,1.15520334928,1,0.439409,0.0385377,-0.212903,0,-0.15644559828,0.158788738997,-0.058314,0.0907728,0.0718801,0.0383361,7,0,-0.607476,0.2546,0.0558,0.0798,0.0863,0.2358,0.131148,0.353418,0.0863
-0.0598466981132075,46,1.03570767808,1,1.06694,-0.0174039,-0.134546,0,0.891937195771,-0.191243076786,-0.0624611,0.0447968,0.167535,-0.0842785,3,1,0.0722504,0.3189,0.2014,0.2216,0.2598,0.3776,0.0576484,0.224788,0.2598
-0.05056069250442658,47,1.20120677651,1,1.03966,0.0239875,-0.0390901,0,0.394993787452,-0.0111687670437,-0.0125909,0.051499,0.183792,-0.0132897,3,1,0.240338,0.2413,0.1886,0.1896,0.2176,0.2478,0.00574714,0.133272,0.2176
0.07156133828996278,48,0.948966978633,1,0.786353,0.0407708,-0.050303,0,-0.372511501158,0.0833979421717,-0.0205432,0.182288,0.225949,0.0432816,3,1,-0.00565672,0.3459,0.1804,0.2204,0.2374,0.3172,0.116959,0.240101,0.2374
0.03434478159386454,49,0.982608695652,1,0.80102,0.0095238,-0.0707588,0,0.272913145759,0.00663007819937,-0.0271168,0.0832468,0.200243,0.0147203,6,1,0.206112,0.3102,0.188,0.2188,0.2198,0.3012,0.161426,0.144677,0.2198
0.1001106194690265,50,1.32522976579,1,0.717423,0.0767315,0.0386382,0,4.2108574767,0.287115875128,0.00835362,0.161966,0.190394,0.113974,3,1,0.085634,0.1989,0.1288,0.1384,0.147,0.1582,0.0879121,0.123809,0.147
-0.10835322195704056,51,1.05164930556,1,0.888354,-0.07355,-0.220739,0,1.13394869523,-0.298791467892,-0.0929012,-0.0726106,0.107151,-0.121905,6,1,0.00113348,0.2802,0.1506,0.1806,0.1846,0.358,0.147059,0.184182,0.1846
0.010425020048115487,52,1.00170940171,1,0.614041,0.0368624,-0.121934,0,-0.325323009841,0.110219508338,-0.0444514,0.10766,0.156556,0.030422,6,1,-0.307516,0.315,0.115,0.153,0.1688,0.2964,0.11772,0.31872,0.1688
